MemberID,Name,Parliament,Party,Date_Elected,Method_of_Election,Date_Vacated,Reason_for_Leaving,Electorate_List
491,"BELL, Francis Henry Dillon",12,,28/11/1893,General election,14/11/1896,Retired,City of Wellington
357,"BUCHANAN, Walter Clarke",12,,28/11/1893,General election,3/12/1896,Re-elected,Wairarapa
492,"BUDDO, David",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Defeated,Kaiapoi
466,"BUICK, Thomas Lindsay",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Defeated,Wairau
291,"BUTTON, Charles Edward",12,,28/11/1893,General election,3/12/1896,Defeated,City of Auckland
358,"CADMAN, Alfred Jerome",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Waikato
467,"CARNCROSS, Walter Charles Frederick",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Taieri
493,"CARNELL, Samuel",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Defeated,Napier
436,"CARROLL, James",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Waiapu
494,"COLLINS, William Whitehouse",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Defeated,City of Christchurch
495,"CROWTHER, William",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,City of Auckland
363,"DUNCAN, Thomas Young",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Oamaru
469,"DUTHIE, John",12,,28/11/1893,General election,2/12/1896,Retired,City of Wellington
470,"EARNSHAW, William",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Defeated,City of Dunedin
496,"FLATMAN, Frederick Robert",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Pareora
497,"FRASER, William",12,,28/11/1893,General election,3/12/1896,Re-elected,Wakatipu
498,"GRAHAM, John",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,City of Nelson
306,"GREEN, James",12,,28/11/1893,General election,3/12/1896,Defeated,Waikouaiti
259,"GREY, George",12,,28/11/1893,General election,28/06/1895,Resigned,City of Auckland
411,"GUINNESS, Arthur Robert",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Grey
499,"HALL, Charles",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Defeated,Waipawa
464,"HALL-JONES, William",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Timaru
348,"HARRIS, Benjamin",12,New Zealand Liberal Party,28/11/1893,General election,14/11/1896,Defeated,Franklin
471,"HOGG, Alexander Wilson",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Masterton
472,"HOUSTON, Robert Morrow",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Bay of Islands
444,"HUTCHISON, George",12,,28/11/1893,General election,3/12/1896,Re-elected,Patea
326,"HUTCHISON, William",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Retired,City of Dunedin
446,"JOYCE, John",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Lyttelton
473,"KELLY, James Whyte",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Invercargill
239,"KELLY, William",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Defeated,Bay of Plenty
500,"LANG, Frederic William",12,,28/11/1893,General election,3/12/1896,Re-elected,Waipa
447,"LAWRY, Frank",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Parnell
449,"MACKENZIE, Thomas",12,,28/11/1893,General election,3/12/1896,Retired,Clutha
475,"MACKINTOSH, James",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Retired,Wallace
501,"MASLIN, William Stephen",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Retired,Rangitata
490,"MCGOWAN, James",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Thames
486,"MCGUIRE, Felix",12,,28/11/1893,General election,3/12/1896,Re-elected,Egmont
371,"MCKENZIE, John",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Waihemo
502,"MCKENZIE, Roderick",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Buller
503,"MCLACHLAN, John",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Defeated,Ashburton
504,"MCNAB, Robert",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Defeated,Mataura
476,"MEREDITH, Richard",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Ashley
505,"MILLAR, John Andrew",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Chalmers
477,"MILLS, Charles Houghton",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Waimea Sounds
373,"MITCHELSON, Edwin",12,,28/11/1893,General election,3/12/1896,Defeated,Eden
431,"MONK, Richard",12,,28/11/1893,General election,9/02/1894,Election petition / Judicial review,Waitemata
506,"MONTGOMERY, William Hugh",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Ellesmere
507,"MORRISON, Arthur",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Caversham
394,"NEWMAN, Alfred Kingcome",12,,28/11/1893,General election,3/12/1896,Defeated,Suburbs of Wellington
508,"O'REGAN, Patrick Joseph",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Inangahua
95,"O'RORKE, George Maurice",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Manukau
480,"PINKERTON, David",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Defeated,City of Dunedin
509,"PIRANI, Frederick",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Palmerston
252,"PYKE, Vincent",12,New Zealand Liberal Party,28/11/1893,General election,4/06/1894,Died,Tuapeka
453,"REEVES, William Pember",12,New Zealand Liberal Party,28/11/1893,General election,13/01/1896,Resigned,City of Christchurch
510,"RUSSELL, George Warren",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Defeated,Riccarton
273,"RUSSELL, William Russell",12,,28/11/1893,General election,3/12/1896,Re-elected,Hawkes Bay
105,"SAUNDERS, Alfred",12,,28/11/1893,General election,3/12/1896,Defeated,Selwyn
320,"SEDDON, Richard John",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Westland
482,"SMITH, Edward Metcalf",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Defeated,New Plymouth
511,"SMITH, George John",12,,28/11/1893,General election,3/12/1896,Re-elected,City of Christchurch
383,"STEVENS, John",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Rangitīkei
222,"STEWARD, William Jukes",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Waitaki
263,"STOUT, Robert",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,City of Wellington
484,"TANNER, William Wilcox",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Avon
456,"THOMPSON, Robert",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Marsden
458,"WARD, Joseph George",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Re-elected,Awarua
489,"WILLIS, Archibald Dudingston",12,New Zealand Liberal Party,28/11/1893,General election,3/12/1896,Defeated,Wanganui
389,"WILSON, James Glenny",12,,28/11/1893,General election,3/12/1896,Retired,Ōtaki
512,"HEKE, Hone",12,New Zealand Liberal Party,20/12/1893,General election,18/12/1896,Re-elected,Northern Maori
426,"PARATA, Tame",12,New Zealand Liberal Party,20/12/1893,General election,18/12/1896,Re-elected,Southern Maori
397,"PERE, Wiremu",12,New Zealand Liberal Party,20/12/1893,General election,18/12/1896,Re-elected,Eastern Maori
513,"TE AO, Ropata",12,,20/12/1893,General election,18/12/1896,Defeated,Western Maori
514,"MASSEY, William Ferguson",12,,9/04/1894,By-election,3/12/1896,Re-elected,Waitemata
264,"LARNACH, William James Mudie",12,New Zealand Liberal Party,9/07/1894,By-election,3/12/1896,Re-elected,Tuapeka
515,"LEWIS, Charles",12,,13/02/1896,By-election,3/12/1896,Re-elected,City of Christchurch
516,"ALLEN, Edmund Giblett",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Waikouaiti
438,"ALLEN, James",13,,4/12/1896,General election,5/12/1899,Re-elected,Bruce
517,"BOLLARD, John",13,,4/12/1896,General election,5/12/1899,Re-elected,Eden
518,"BROWN, Henry",13,,4/12/1896,General election,5/12/1899,Defeated,Taranaki
357,"BUCHANAN, Walter Clarke",13,,4/12/1896,General election,5/12/1899,Defeated,Wairarapa
358,"CADMAN, Alfred Jerome",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Retired,Ohinemuri
467,"CARNCROSS, Walter Charles Frederick",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Taieri
436,"CARROLL, James",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Waiapu
519,"CARSON, Gilbert",13,,4/12/1896,General election,5/12/1899,Defeated,Wanganui
495,"CROWTHER, William",13,,4/12/1896,General election,5/12/1899,Re-elected,City of Auckland
363,"DUNCAN, Thomas Young",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Oamaru
520,"FIELD, Henry Augustus",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Ōtaki
365,"FISH, Henry Smith",13,,4/12/1896,General election,23/09/1897,Died,City of Dunedin
404,"FISHER, George",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,City of Wellington
496,"FLATMAN, Frederick Robert",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Geraldine
497,"FRASER, William",13,,4/12/1896,General election,5/12/1899,Re-elected,Wakatipu
521,"GILFEDDER, Michael",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Wallace
498,"GRAHAM, John",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,City of Nelson
411,"GUINNESS, Arthur Robert",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Grey
464,"HALL-JONES, William",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Timaru
522,"HERRIES, William Herbert",13,,4/12/1896,General election,5/12/1899,Re-elected,Bay of Plenty
471,"HOGG, Alexander Wilson",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Masterton
523,"HOLLAND, James Job",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Defeated,City of Auckland
472,"HOUSTON, Robert Morrow",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Bay of Islands
524,"HUNTER, George",13,,4/12/1896,General election,5/12/1899,Defeated,Waipawa
525,"HUTCHESON, John",13,New Zealand Liberal Party,4/12/1896,General election,5/07/1899,Resigned,City of Wellington
444,"HUTCHISON, George",13,,4/12/1896,General election,5/12/1899,Re-elected,Patea
446,"JOYCE, John",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Retired,Lyttelton
473,"KELLY, James Whyte",13,New Zealand Liberal Party,4/12/1896,General election,15/11/1899,Defeated,Invercargill
500,"LANG, Frederic William",13,,4/12/1896,General election,5/12/1899,Re-elected,Waikato
264,"LARNACH, William James Mudie",13,New Zealand Liberal Party,4/12/1896,General election,12/10/1898,Died,Tuapeka
447,"LAWRY, Frank",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Parnell
526,"LETHBRIDGE, Frank Yates",13,,4/12/1896,General election,5/12/1899,Re-elected,Rangitīkei
515,"LEWIS, Charles",13,,4/12/1896,General election,5/12/1899,Re-elected,City of Christchurch
416,"MACKENZIE, Mackay John Scobie",13,,4/12/1896,General election,5/12/1899,Defeated,City of Dunedin
514,"MASSEY, William Ferguson",13,,4/12/1896,General election,5/12/1899,Re-elected,Franklin
490,"MCGOWAN, James",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Thames
486,"MCGUIRE, Felix",13,,4/12/1896,General election,5/12/1899,Re-elected,Hawera
371,"MCKENZIE, John",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Waihemo
502,"MCKENZIE, Roderick",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Motueka
527,"MCLEAN, Robert Donald Douglas",13,,4/12/1896,General election,5/12/1899,Defeated,Napier
476,"MEREDITH, Richard",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Ashley
505,"MILLAR, John Andrew",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,City of Dunedin
477,"MILLS, Charles Houghton",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Wairau
431,"MONK, Richard",13,,4/12/1896,General election,5/12/1899,Re-elected,Waitemata
506,"MONTGOMERY, William Hugh",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Defeated,Ellesmere
478,"MOORE, Richard",13,,4/12/1896,General election,5/12/1899,Defeated,Kaiapoi
507,"MORRISON, Arthur",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Caversham
528,"O'MEARA, John",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Pahiatua
508,"O'REGAN, Patrick Joseph",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Defeated,Buller
95,"O'RORKE, George Maurice",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Manukau
509,"PIRANI, Frederick",13,,4/12/1896,General election,5/12/1899,Re-elected,Palmerston
420,"RICHARDSON, George Frederick",13,,4/12/1896,General election,30/04/1898,Disqualified: Conviction,Mataura
187,"ROLLESTON, William",13,,4/12/1896,General election,5/12/1899,Defeated,Riccarton
273,"RUSSELL, William Russell",13,,4/12/1896,General election,5/12/1899,Re-elected,Hawkes Bay
320,"SEDDON, Richard John",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Westland
511,"SMITH, George John",13,,4/12/1896,General election,5/12/1899,Defeated,City of Christchurch
383,"STEVENS, John",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Manawatu
222,"STEWARD, William Jukes",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Waitaki
263,"STOUT, Robert",13,,4/12/1896,General election,10/02/1898,Resigned,City of Wellington
529,"SYMES, Walter",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Egmont
484,"TANNER, William Wilcox",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Re-elected,Avon
530,"TAYLOR, Thomas Edward",13,,4/12/1896,General election,5/12/1899,Defeated,City of Christchurch
456,"THOMPSON, Robert",13,,4/12/1896,General election,5/12/1899,Re-elected,Marsden
423,"THOMPSON, Thomas",13,New Zealand Liberal Party,4/12/1896,General election,5/12/1899,Retired,City of Auckland
220,"THOMSON, James William",13,,4/12/1896,General election,5/12/1899,Re-elected,Clutha
458,"WARD, Joseph George",13,New Zealand Liberal Party,4/12/1896,General election,14/07/1897,Resigned,Awarua
281,"WASON, John Cathcart",13,,4/12/1896,General election,5/12/1899,Retired,Selwyn
531,"WILFORD, Thomas Mason",13,New Zealand Liberal Party,4/12/1896,General election,7/04/1897,Election petition / Judicial review,Suburbs of Wellington
350,"WRIGHT, Edward George",13,,4/12/1896,General election,5/12/1899,Retired,Ashburton
512,"HEKE, Hone",13,New Zealand Liberal Party,19/12/1896,General election,18/12/1899,Re-elected,Northern Maori
532,"KAIHAU, Henare",13,,19/12/1896,General election,18/12/1899,Re-elected,Western Maori
426,"PARATA, Tame",13,New Zealand Liberal Party,19/12/1896,General election,18/12/1899,Re-elected,Southern Maori
397,"PERE, Wiremu",13,New Zealand Liberal Party,19/12/1896,General election,18/12/1899,Re-elected,Eastern Maori
533,"WILSON, Charles",13,New Zealand Liberal Party,23/04/1897,By-election,15/11/1899,Retired,Suburbs of Wellington
458,"WARD, Joseph George",13,New Zealand Liberal Party,5/08/1897,By-election,5/12/1899,Re-elected,Awarua
534,"SLIGO, Alexander",13,,13/10/1897,By-election,5/12/1899,Defeated,City of Dunedin
469,"DUTHIE, John",13,,9/03/1898,By-election,4/12/1899,Retired,City of Wellington
504,"MCNAB, Robert",13,New Zealand Liberal Party,26/05/1898,By-election,5/12/1899,Re-elected,Mataura
535,"RAWLINS, Charles Champion",13,,2/11/1898,By-election,5/12/1899,Defeated,Tuapeka
525,"HUTCHESON, John",13,,25/07/1899,By-election,5/12/1899,Re-elected,City of Wellington
511,"SMITH, George John",13,,18/07/1901,By-election,24/11/1902,Defeated,City of Christchurch
516,"ALLEN, Edmund Giblett",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Waikouaiti
438,"ALLEN, James",14,,6/12/1899,General election,24/11/1902,Re-elected,Bruce
536,"ARNOLD, James Frederick",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,City of Dunedin
538,"ATKINSON, Arthur Richmond",14,,6/12/1899,General election,5/11/1902,Defeated,City of Wellington
537,"BARCLAY, Alfred Richard",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Defeated,City of Dunedin
539,"BENNET, James",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Tuapeka
517,"BOLLARD, John",14,,6/12/1899,General election,24/11/1902,Re-elected,Eden
492,"BUDDO, David",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Kaiapoi
467,"CARNCROSS, Walter Charles Frederick",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Retired,Taieri
436,"CARROLL, James",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Waiapu
494,"COLLINS, William Whitehouse",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Defeated,City of Christchurch
540,"COLVIN, James",14,,6/12/1899,General election,24/11/1902,Re-elected,Buller
495,"CROWTHER, William",14,,6/12/1899,General election,15/03/1900,Died,City of Auckland
363,"DUNCAN, Thomas Young",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Oamaru
541,"ELL, Henry George",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,City of Christchurch
520,"FIELD, Henry Augustus",14,New Zealand Liberal Party,6/12/1899,General election,8/12/1899,Died,Ōtaki
404,"FISHER, George",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,City of Wellington
496,"FLATMAN, Frederick Robert",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Geraldine
542,"FOWLDS, George",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,City of Auckland
543,"FRASER, Alfred Levavasour Durell",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Napier
497,"FRASER, William",14,,6/12/1899,General election,24/11/1902,Re-elected,Wakatipu
521,"GILFEDDER, Michael",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Defeated,Wallace
498,"GRAHAM, John",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,City of Nelson
411,"GUINNESS, Arthur Robert",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Grey
499,"HALL, Charles",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Waipawa
464,"HALL-JONES, William",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Timaru
544,"HANAN, Josiah Alfred",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Invercargill
545,"HARDY, Charles Albert Creery",14,,6/12/1899,General election,24/11/1902,Re-elected,Selwyn
522,"HERRIES, William Herbert",14,,6/12/1899,General election,24/11/1902,Re-elected,Bay of Plenty
471,"HOGG, Alexander Wilson",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Masterton
546,"HORNSBY, John Thomas Marryat",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Defeated,Wairarapa
472,"HOUSTON, Robert Morrow",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Bay of Islands
525,"HUTCHESON, John",14,,6/12/1899,General election,5/11/1902,Retired,City of Wellington
444,"HUTCHISON, George",14,,6/12/1899,General election,29/06/1901,Resigned,Patea
500,"LANG, Frederic William",14,,6/12/1899,General election,24/11/1902,Re-elected,Waikato
547,"LAURENSON, George",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Lyttelton
447,"LAWRY, Frank",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Parnell
526,"LETHBRIDGE, Frank Yates",14,,6/12/1899,General election,24/11/1902,Re-elected,Rangitīkei
515,"LEWIS, Charles",14,,6/12/1899,General election,12/06/1901,Resigned,City of Christchurch
514,"MASSEY, William Ferguson",14,,6/12/1899,General election,24/11/1902,Re-elected,Franklin
490,"MCGOWAN, James",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Thames
486,"MCGUIRE, Felix",14,,6/12/1899,General election,24/11/1902,Defeated,Hawera
371,"MCKENZIE, John",14,New Zealand Liberal Party,6/12/1899,General election,27/06/1900,Resigned,Waihemo
502,"MCKENZIE, Roderick",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Motueka
503,"MCLACHLAN, John",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Ashburton
504,"MCNAB, Robert",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Mataura
476,"MEREDITH, Richard",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Defeated,Ashley
505,"MILLAR, John Andrew",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,City of Dunedin
477,"MILLS, Charles Houghton",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Wairau
431,"MONK, Richard",14,,6/12/1899,General election,24/11/1902,Retired,Waitemata
507,"MORRISON, Arthur",14,New Zealand Liberal Party,6/12/1899,General election,21/11/1901,Died,Caversham
548,"NAPIER, William Joseph",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Defeated,City of Auckland
528,"O'MEARA, John",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Pahiatua
95,"O'RORKE, George Maurice",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Defeated,Manukau
479,"PALMER, Jackson",14,,6/12/1899,General election,24/11/1902,Defeated,Ohinemuri
509,"PIRANI, Frederick",14,,6/12/1899,General election,24/11/1902,Defeated,Palmerston
549,"RHODES, Robert Heaton",14,,6/12/1899,General election,24/11/1902,Re-elected,Ellesmere
510,"RUSSELL, George Warren",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Defeated,Riccarton
273,"RUSSELL, William Russell",14,,6/12/1899,General election,24/11/1902,Re-elected,Hawkes Bay
320,"SEDDON, Richard John",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Westland
482,"SMITH, Edward Metcalf",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Taranaki
383,"STEVENS, John",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Defeated,Manawatu
222,"STEWARD, William Jukes",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Waitaki
529,"SYMES, Walter",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Egmont
484,"TANNER, William Wilcox",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Avon
456,"THOMPSON, Robert",14,,6/12/1899,General election,24/11/1902,Defeated,Marsden
220,"THOMSON, James William",14,,6/12/1899,General election,24/11/1902,Re-elected,Clutha
458,"WARD, Joseph George",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Awarua
531,"WILFORD, Thomas Mason",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Suburbs of Wellington
489,"WILLIS, Archibald Dudingston",14,New Zealand Liberal Party,6/12/1899,General election,24/11/1902,Re-elected,Wanganui
512,"HEKE, Hone",14,New Zealand Liberal Party,19/12/1899,General election,29/10/1900,Disqualified: Conviction,Northern Maori
532,"KAIHAU, Henare",14,,19/12/1899,General election,21/12/1902,Re-elected,Western Maori
426,"PARATA, Tame",14,New Zealand Liberal Party,19/12/1899,General election,21/12/1902,Re-elected,Southern Maori
397,"PERE, Wiremu",14,New Zealand Liberal Party,19/12/1899,General election,21/12/1902,Re-elected,Eastern Maori
550,"FIELD, William Hughes",14,New Zealand Liberal Party,5/01/1900,By-election,24/11/1902,Re-elected,Ōtaki
551,"WITHEFORD, Joseph Howard",14,New Zealand Liberal Party,27/04/1900,By-election,24/11/1902,Re-elected,City of Auckland
449,"MACKENZIE, Thomas",14,,18/07/1900,By-election,24/11/1902,Re-elected,Waihemo
512,"HEKE, Hone",14,New Zealand Liberal Party,9/01/1901,By-election,21/12/1902,Re-elected,Northern Maori
552,"HASELDEN, Frederick Henry",14,,18/07/1901,By-election,9/10/1901,Election petition / Judicial review,Patea
552,"HASELDEN, Frederick Henry",14,,6/11/1901,By-election,24/11/1902,Defeated,Patea
553,"SIDEY, Thomas Kay",14,New Zealand Liberal Party,19/12/1901,By-election,24/11/1902,Re-elected,Caversham
554,"AITKEN, John Guthrie Wood",15,,25/11/1902,General election,5/12/1905,Re-elected,City of Wellington
555,"ALISON, Ewen William",15,,25/11/1902,General election,5/12/1905,Re-elected,Waitemata
516,"ALLEN, Edmund Giblett",15,New Zealand Liberal Party,25/11/1902,General election,5/12/1905,Re-elected,Chalmers
438,"ALLEN, James",15,,25/11/1902,General election,5/12/1905,Re-elected,Bruce
536,"ARNOLD, James Frederick",15,New Zealand Liberal Party,25/11/1902,General election,5/12/1905,Re-elected,City of Dunedin
556,"BARBER, William Henry Peter",15,New Zealand Liberal Party,25/11/1902,General election,5/12/1905,Re-elected,Newtown
557,"BAUME, Frederick Ehrenfried",15,New Zealand Liberal Party,25/11/1902,General election,5/12/1905,Re-elected,City of Auckland
558,"BEDFORD, Harry Dodgshun",15,,25/11/1902,General election,30/06/1905,Change in affiliation,City of Dunedin
539,"BENNET, James",15,New Zealand Liberal Party,25/11/1902,General election,5/12/1905,Re-elected,Tuapeka
517,"BOLLARD, John",15,,25/11/1902,General election,5/12/1905,Re-elected,Eden
357,"BUCHANAN, Walter Clarke",15,,25/11/1902,General election,5/12/1905,Defeated,Wairarapa
492,"BUDDO, David",15,New Zealand Liberal Party,25/11/1902,General election,5/12/1905,Re-elected,Kaiapoi
436,"CARROLL, James",15,New Zealand Liberal Party,25/11/1902,General election,5/12/1905,Re-elected,Waiapu
540,"COLVIN, James",15,New Zealand Liberal Party,25/11/1902,General election,5/12/1905,Re-elected,Buller
559,"DAVEY, Thomas Henry",15,New Zealand Liberal Party,25/11/1902,General election,5/12/1905,Re-elected,City of Christchurch
363,"DUNCAN, Thomas Young",15,New Zealand Liberal Party,25/11/1902,General election,5/12/1905,Re-elected,Oamaru
469,"DUTHIE, John",15,,25/11/1902,General election,15/11/1905,Defeated,City of Wellington
541,"ELL, Henry George",15,New Zealand Liberal Party,25/11/1902,General election,5/12/1905,Re-elected,City of Christchurch
550,"FIELD, William Hughes",15,New Zealand Liberal Party,25/11/1902,General election,5/12/1905,Re-elected,Ōtaki
404,"FISHER, George",15,New Zealand Liberal Party,25/11/1902,General election,14/03/1905,Died,City of Wellington
496,"FLATMAN, Frederick Robert",15,New Zealand Liberal Party,25/11/1902,General election,5/12/1905,Re-elected,Geraldine
